,year,month,temp_diff,,,,,,,,10,11
0,2010,1,0.525,,,,,,,,0.828,0.046
1,2010,2,-1.235,,,,,,,,0.82,0.046
2,2010,3,1.43,,,,,,,,0.82,0.046
3,2010,4,1.212,,,,,,,,0.816,0.045
4,2010,5,-0.074,,,,,,,,0.811,0.046
5,2010,6,1.193,,,,,,,,0.814,0.046
6,2010,7,0.747,,,,,,,,,
7,2010,8,1.242,,,,,,,,,
8,2010,9,1.02,,,,,,,,,
9,2010,10,1.04,,,,,,,,,
10,2010,11,0.241,,,,,,,,,
11,2010,12,-0.412,,,,,,,,,
12,2011,1,0,,,,,,,,,
13,2011,2,-0.541,,,,,,,,,
14,2011,3,1.161,,,,,,,,,
15,2011,4,0.528,,,,,,,,,
16,2011,5,-0.52,,,,,,,,,
17,2011,6,0.842,,,,,,,,,
18,2011,7,1.527,,,,,,,,,
19,2011,8,1.785,,,,,,,,,
20,2011,9,0.803,,,,,,,,,
21,2011,10,0.462,,,,,,,,,
22,2011,11,1.027,,,,,,,,,
23,2011,12,1.227,,,,,,,,,
24,2012,1,3.549,,,,,,,,,
25,2012,2,1.909,,,,,,,,,
26,2012,3,5.192,,,,,,,,,
27,2012,4,1.987,,,,,,,,,
28,2012,5,1.874,,,,,,,,,
29,2012,6,1.274,,,,,,,,,
30,2012,7,1.858,,,,,,,,,
31,2012,8,1.089,,,,,,,,,
32,2012,9,0.882,,,,,,,,,
33,2012,10,-0.179,,,,,,,,,
34,2012,11,1.178,,,,,,,,,
35,2012,12,1.531,,,,,,,,,
36,2013,1,1.457,,,,,,,,,
37,2013,2,0.397,,,,,,,,,
38,2013,3,-0.031,,,,,,,,,
39,2013,4,-0.763,,,,,,,,,
40,2013,5,0.443,,,,,,,,,
41,2013,6,1.137,,,,,,,,,
42,2013,7,0.442,,,,,,,,,
43,2013,8,0.633,,,,,,,,,
44,2013,9,1.236,,,,,,,,,
45,2013,10,-0.462,,,,,,,,,
46,2013,11,-0.157,,,,,,,,,
47,2013,12,-1.189,,,,,,,,,
48,2014,1,0.451,,,,,,,,,
49,2014,2,-1.106,,,,,,,,,
50,2014,3,-0.268,,,,,,,,,
51,2014,4,0.311,,,,,,,,,
52,2014,5,0.645,,,,,,,,,
53,2014,6,0.655,,,,,,,,,
54,2014,7,-0.09,,,,,,,,,
55,2014,8,0.192,,,,,,,,,
56,2014,9,0.779,,,,,,,,,
57,2014,10,1.439,,,,,,,,,
58,2014,11,-1.431,,,,,,,,,
59,2014,12,1.928,,,,,,,,,
60,2015,1,1.835,,,,,,,,,
61,2015,2,-0.632,,,,,,,,,
62,2015,3,2.41,,,,,,,,,
63,2015,4,1.165,,,,,,,,,
64,2015,5,0.378,,,,,,,,,
65,2015,6,1.62,,,,,,,,,
66,2015,7,0.264,,,,,,,,,
67,2015,8,0.583,,,,,,,,,
68,2015,9,2.081,,,,,,,,,
69,2015,10,1.608,,,,,,,,,
70,2015,11,1.495,,,,,,,,,
71,2015,12,2.987,,,,,,,,,
72,2016,1,1.411,,,,,,,,,
73,2016,2,2.958,,,,,,,,,
74,2016,3,3.563,,,,,,,,,
75,2016,4,1.133,,,,,,,,,
76,2016,5,0.12,,,,,,,,,
77,2016,6,1.866,,,,,,,,,
78,2016,7,0.989,,,,,,,,,
79,2016,8,0.889,,,,,,,,,
80,2016,9,1.314,,,,,,,,,
81,2016,10,1.918,,,,,,,,,
82,2016,11,3.317,,,,,,,,,
83,2016,12,-0.143,,,,,,,,,
84,2017,1,2.162,,,,,,,,,
85,2017,2,3.944,,,,,,,,,
86,2017,3,2.817,,,,,,,,,
87,2017,4,1.502,,,,,,,,,
88,2017,5,0.263,,,,,,,,,
89,2017,6,1.09,,,,,,,,,
90,2017,7,1.232,,,,,,,,,
91,2017,8,0.043,,,,,,,,,
92,2017,9,0.838,,,,,,,,,
93,2017,10,0.788,,,,,,,,,
94,2017,11,1.752,,,,,,,,,
95,2017,12,0.529,,,,,,,,,
96,2018,1,1.383,,,,,,,,,
97,2018,2,0.822,,,,,,,,,
98,2018,3,0.943,,,,,,,,,
99,2018,4,-1.108,,,,,,,,,
100,2018,5,2.984,,,,,,,,,
101,2018,6,1.76,,,,,,,,,
102,2018,7,1.106,,,,,,,,,
103,2018,8,0.913,,,,,,,,,
104,2018,9,1.519,,,,,,,,,
105,2018,10,-0.314,,,,,,,,,
106,2018,11,-1.02,,,,,,,,,
107,2018,12,1.252,,,,,,,,,
108,2019,1,1.524,,,,,,,,,
109,2019,2,-1.207,,,,,,,,,
110,2019,3,-0.369,,,,,,,,,
111,2019,4,0.992,,,,,,,,,
112,2019,5,-0.333,,,,,,,,,
113,2019,6,0.191,,,,,,,,,
114,2019,7,0.651,,,,,,,,,
115,2019,8,1.015,,,,,,,,,
116,2019,9,2.061,,,,,,,,,
117,2019,10,-1.212,,,,,,,,,
118,2019,11,-0.432,,,,,,,,,
119,2019,12,1.754,,,,,,,,,
120,2020,1,3.189,,,,,,,,,
121,2020,2,1.156,,,,,,,,,
122,2020,3,2.796,,,,,,,,,
123,2020,4,-0.106,,,,,,,,,
124,2020,5,0.436,,,,,,,,,
125,2020,6,1.04,,,,,,,,,